category_grouped,month,revenue,month_index,month_of_year,revenue_lag1,revenue_lag2,revenue_roll3,category_enc
costruction_tools_tools,2018-08-01,1497.04,19,8,5779.45,623.81,2303.1733333333354,21
fashion_shoes,2018-08-01,577.21,19,8,985.44,1450.18,1408.063333333336,28
food_drink,2018-08-01,1340.39,19,8,1164.97,512.81,1178.8000000000027,33
costruction_tools_garden,2018-08-01,4329.6,19,8,2592.27,1067.6,1701.8800000000022,20
telephony,2018-08-01,42480.9,19,8,30971.34,26562.72,27790.129999999994,60
fashion_underwear_beach,2018-08-01,246.76,19,8,141.32999999999998,236.76,226.18333333333575,30
health_beauty,2018-08-01,137206.07,19,8,122743.98,125844.5,119688.54333333333,38
furniture_living_room,2018-08-01,6690.29,19,8,8962.31,4529.65,5627.353333333333,36
drinks,2018-08-01,1918.02,19,8,1633.2,2053.4,2416.8100000000027,22
Autres,2018-08-01,4737.110000000001,19,8,6439.0599999999995,4338.01,7182.676666666666,0
fixed_telephony,2018-08-01,2891.02,19,8,9658.18,2422.52,4767.650000000002,31
fashion_male_clothing,2018-08-01,466.98,19,8,295.68,554.43,333.32666666666904,27
dvds_blu_ray,2018-08-01,16.29,19,8,96.88,505.03,387.3566666666691,23
furniture_decor,2018-08-01,52344.11,19,8,58021.83,52565.68,58867.299999999996,35
electronics,2018-08-01,12967.37,19,8,13812.32,12946.08,15948.70666666667,24
food,2018-08-01,9676.42,19,8,4401.42,1693.59,2724.830000000002,32
fashion_bags_accessories,2018-08-01,10035.75,19,8,7418.12,9388.36,9999.583333333336,26
furniture_bedroom,2018-08-01,2819.88,19,8,1838.77,1941.82,1865.8333333333358,34
fashio_female_clothing,2018-08-01,169.13,19,8,0.0,0.0,0.0,25
garden_tools,2018-08-01,20388.16,19,8,31122.91,23126.03,32456.076666666664,37
toys,2018-08-01,21752.31,19,8,21509.19,25586.66,27932.926666666663,61
audio,2018-08-01,2469.1,19,8,2409.0,2228.39,2560.6433333333334,4
home_appliances_2,2018-08-01,10667.72,19,8,13772.17,9112.54,12827.51333333333,40
market_place,2018-08-01,1107.97,19,8,277.34000000000003,678.79,714.3066666666632,48
christmas_supplies,2018-08-01,778.7099999999999,19,8,661.66,476.71000000000004,603.7033333333333,11
music,2018-08-01,582.61,19,8,893.28,169.56,630.0799999999965,49
books_technical,2018-08-01,1861.3799999999999,19,8,2605.41,2184.59,2904.526666666666,10
musical_instruments,2018-08-01,11705.45,19,8,11813.03,17970.76,16773.609999999997,50
office_furniture,2018-08-01,8386.67,19,8,17915.64,16654.57,19975.069999999996,51
art,2018-08-01,1775.9,19,8,2265.73,3019.18,2847.33,3
books_imported,2018-08-01,804.96,19,8,516.61,606.16,549.4933333333333,9
party_supplies,2018-08-01,1590.42,19,8,84.36,112.38,122.39333333333092,52
books_general_interest,2018-08-01,2076.99,19,8,4496.16,3958.62,5129.096666666667,8
sports_leisure,2018-08-01,61467.87,19,8,67096.64,55590.56,63967.84666666666,57
perfumery,2018-08-01,28660.53,19,8,25704.44,31001.59,28207.08333333333,53
bed_bath_table,2018-08-01,75622.54,19,8,69421.46,88289.58,81105.37333333334,7
pet_shop,2018-08-01,28784.18,19,8,23435.05,23514.91,20356.62,54
baby,2018-08-01,26771.31,19,8,27444.75,37101.87,34683.82000000001,6
signaling_and_security,2018-08-01,2158.67,19,8,6136.1900000000005,6940.76,4646.646666666665,55
auto,2018-08-01,53075.08,19,8,51187.78,52446.51,50618.44666666668,5
stationery,2018-08-01,18980.61,19,8,21489.7,16026.050000000001,17629.35333333333,58
home_appliances,2018-08-01,7933.849999999999,19,8,6541.68,7263.28,7061.79,39
cine_photo,2018-08-01,818.29,19,8,1291.61,609.36,1490.6166666666666,12
computers,2018-08-01,9228.25,19,8,11947.480000000001,13867.869999999999,11919.986666666666,13
cool_stuff,2018-08-01,19091.64,19,8,34278.979999999996,22026.04,30079.26,19
home_comfort_2,2018-08-01,0.0,19,8,85.44,51.379999999999995,45.606666666665454,41
construction_tools_safety,2018-08-01,4596.59,19,8,2142.9,2972.88,4339.296666666666,18
agro_industry_and_commerce,2018-08-01,5543.740000000001,19,8,8735.28,3843.05,5337.183333333333,1
home_confort,2018-08-01,2571.88,19,8,3691.08,2701.94,3192.463333333332,42
construction_tools_lights,2018-08-01,9888.59,19,8,8631.4,5538.59,6830.453333333334,17
small_appliances,2018-08-01,7486.0,19,8,9782.44,17190.08,12826.616666666667,56
home_construction,2018-08-01,8312.99,19,8,8298.17,10936.73,10230.309999999998,43
construction_tools_construction,2018-08-01,25992.63,19,8,17589.95,25467.35,22234.789999999997,16
tablets_printing_image,2018-08-01,0.0,19,8,0.0,72.85,43.67999999999514,59
housewares,2018-08-01,74451.1,19,8,78259.4,70910.98,75866.12,44
consoles_games,2018-08-01,5828.24,19,8,9539.14,7642.03,7950.793333333332,15
industry_commerce_and_business,2018-08-01,2744.05,19,8,5593.900000000001,3533.92,4703.263333333329,45
computers_accessories,2018-08-01,48209.979999999996,19,8,50518.25,51185.7,53919.886666666665,14
fashion_sport,2018-08-01,83.05000000000001,19,8,0.0,0.0,0.0,29
air_conditioning,2018-08-01,4007.8199999999997,19,8,3137.45,4092.94,3227.0399999999995,2
kitchen_dining_laundry_garden_furniture,2018-08-01,2756.02,19,8,4886.72,4742.2,4163.399999999995,46
luggage_accessories,2018-08-01,8256.81,19,8,7193.09,6138.72,7218.069999999996,47
watches_gifts,2018-08-01,79391.86,19,8,106064.72,95855.5,111512.72333333334,62
